fund_name,scheme_code,category,num_rows,start_date,end_date,years_covered,missing_returns,cagr,volatility,sharpe_ratio,max_drawdown,status,remarks
SBI Conservative Hybrid Fund,119102,debt,,,,,,,,,,REJECT,"too_few_rows, short_history, missing_cagr, missing_volatility, missing_sharpe, missing_drawdown"
DSP ELSS Tax Saver Fund,119033,elss,,,,,,,,,,REJECT,"too_few_rows, short_history, missing_cagr, missing_volatility, missing_sharpe, missing_drawdown"
SBI ELSS Tax Saver Fund,119104,elss,,,,,,,,,,REJECT,"too_few_rows, short_history, missing_cagr, missing_volatility, missing_sharpe, missing_drawdown"
WhiteOak Capital ELSS Tax Saver Fund,150033,elss,,,,,,,,,,REJECT,"too_few_rows, short_history, missing_cagr, missing_volatility, missing_sharpe, missing_drawdown"
Edelweiss Flexi Cap Fund,131971,flexi_cap,,,,,,,,,,REJECT,"too_few_rows, short_history, missing_cagr, missing_volatility, missing_sharpe, missing_drawdown"
Franklin India Aggressive Hybrid,120019,hybrid,,,,,,,,,,REJECT,"too_few_rows, short_history, missing_cagr, missing_volatility, missing_sharpe, missing_drawdown"
ICICI Pru Equity & Debt Fund,120251,hybrid,735.0,2023-03-02,2026-02-27,2.99,1.0,,,,,REJECT,"missing_cagr, missing_volatility, missing_sharpe, missing_drawdown"
DSP Nifty 50 Equal Weight Index Fund,141447,large_cap,,,,,,,,,,REJECT,"too_few_rows, short_history, missing_cagr, missing_volatility, missing_sharpe, missing_drawdown"
HDFC Large Cap Fund,118981,large_cap,,,,,,,,,,REJECT,"too_few_rows, short_history, missing_cagr, missing_volatility, missing_sharpe, missing_drawdown"
ICICI Prudential Large Cap Fund,119031,large_cap,,,,,,,,,,REJECT,"too_few_rows, short_history, missing_cagr, missing_volatility, missing_sharpe, missing_drawdown"
HDFC Liquid Fund,119064,liquid,,,,,,,,,,REJECT,"too_few_rows, short_history, missing_cagr, missing_volatility, missing_sharpe, missing_drawdown"
ICICI Pru Liquid Fund,119044,liquid,,,,,,,,,,REJECT,"too_few_rows, short_history, missing_cagr, missing_volatility, missing_sharpe, missing_drawdown"
DSP Midcap Fund,119036,mid_cap,,,,,,,,,,REJECT,"too_few_rows, short_history, missing_cagr, missing_volatility, missing_sharpe, missing_drawdown"
Mirae Asset Midcap Fund,147130,mid_cap,,,,,,,,,,REJECT,"too_few_rows, short_history, missing_cagr, missing_volatility, missing_sharpe, missing_drawdown"
Nippon India Growth Fund,119054,mid_cap,,,,,,,,,,REJECT,"too_few_rows, short_history, missing_cagr, missing_volatility, missing_sharpe, missing_drawdown"
Kotak Multi Asset Allocator FoF,119337,multi_asset,,,,,,,,,,REJECT,"too_few_rows, short_history, missing_cagr, missing_volatility, missing_sharpe, missing_drawdown"
Bandhan Small Cap Fund,147820,small_cap,,,,,,,,,,REJECT,"too_few_rows, short_history, missing_cagr, missing_volatility, missing_sharpe, missing_drawdown"
ITI Small Cap Fund,147043,small_cap,,,,,,,,,,REJECT,"too_few_rows, short_history, missing_cagr, missing_volatility, missing_sharpe, missing_drawdown"
Invesco India Smallcap Fund,145028,small_cap,,,,,,,,,,REJECT,"too_few_rows, short_history, missing_cagr, missing_volatility, missing_sharpe, missing_drawdown"
Tata Small Cap Fund,145265,small_cap,,,,,,,,,,REJECT,"too_few_rows, short_history, missing_cagr, missing_volatility, missing_sharpe, missing_drawdown"
Bank of India Flexi Cap Fund,147833,flexi_cap,728.0,2023-03-02,2026-02-27,2.99,1.0,0.1003,0.0493,0.8176,-0.0755,REVIEW,equity_vol_too_low
SBI Equity Hybrid Fund,119089,hybrid,911.0,2023-03-02,2026-02-27,2.99,1.0,0.0,0.0002,-266.6385,-0.0002,REVIEW,"moderate_vol_too_low, moderate_sharpe_extreme, sharpe_extreme"
Invesco India Mid Cap Fund,119107,mid_cap,725.0,2023-03-02,2026-02-27,2.99,1.0,0.0074,0.0187,-2.8096,-0.0074,REVIEW,"equity_vol_too_low, equity_cagr_too_low, equity_drawdown_too_small"
SBI Multicap Fund,148941,multi_cap,838.0,2023-03-02,2025-09-30,2.58,1.0,0.0738,0.0041,3.403,-0.001,REVIEW,"equity_vol_too_low, equity_drawdown_too_small"
ICICI Prudential Smallcap Fund,118942,small_cap,723.0,2023-03-02,2026-02-27,2.99,1.0,0.0781,0.0044,4.1,-0.0012,REVIEW,"equity_vol_too_low, equity_drawdown_too_small"
Aditya Birla SL Corporate Bond,119533,debt,723.0,2023-03-02,2026-02-27,2.99,1.0,0.0785,0.0109,1.6976,-0.0076,VALID,looks_good
