fund_name,scheme_code,category,risk_type
Nippon India Large Cap Fund,119063,large_cap,
DSP Nifty 50 Equal Weight Index Fund,141447,large_cap,
WhiteOak Capital Large Cap Fund,150584,large_cap,
ICICI Prudential Large Cap Fund,119031,large_cap,
DSP Large Cap Fund,119020,large_cap,
HDFC Large Cap Fund,118981,large_cap,
HDFC NIFTY 100 Equal Weight Index Fund,149870,large_cap,
Sundaram Nifty 100 Equal Weight Fund,100033,large_cap,
Parag Parikh Flexi Cap Fund,122639,flexi_cap,
HDFC Flexi Cap Fund,118955,flexi_cap,
Bank of India Flexi Cap Fund,147833,flexi_cap,
Edelweiss Flexi Cap Fund,131971,flexi_cap,
SBI Multicap Fund,148941,multi_cap,
Kotak Multicap Fund,148946,multi_cap,
ICICI Prudential Multicap Fund,120599,multi_cap,
Baroda BNP Paribas Multi Cap Fund,119354,multi_cap,
Motilal Oswal Midcap Fund,127042,mid_cap,
Nippon India Growth Fund,119054,mid_cap,
Invesco India Mid Cap Fund,119107,mid_cap,
PGIM India Midcap Fund,125307,mid_cap,
UTI Mid Cap Fund,120726,mid_cap,
DSP Midcap Fund,119036,mid_cap,
Mirae Asset Midcap Fund,147130,mid_cap,
Nippon India Small Cap Fund,119066,small_cap,
Bandhan Small Cap Fund,147820,small_cap,
Invesco India Smallcap Fund,145028,small_cap,
ITI Small Cap Fund,147043,small_cap,
Mahindra Manulife Small Cap Fund,150915,small_cap,
ICICI Prudential Smallcap Fund,118942,small_cap,
Tata Small Cap Fund,145265,small_cap,
SBI ELSS Tax Saver Fund,119104,elss,
Motilal Oswal ELSS Tax Saver Fund,133386,elss,
WhiteOak Capital ELSS Tax Saver Fund,150033,elss,
HDFC ELSS Tax Saver Fund,119060,elss,
DSP ELSS Tax Saver Fund,119033,elss,
ICICI Pru Equity & Debt Fund,120251,hybrid,
SBI Equity Hybrid Fund,119089,hybrid,
Franklin India Aggressive Hybrid,120019,hybrid,
ICICI Pru Regular Savings Fund,120616,hybrid,
SBI Multi Asset Allocation Fund,120448,multi_asset,
Kotak Multi Asset Allocator FoF,119337,multi_asset,
SBI Conservative Hybrid Fund,119102,debt,
Kotak Debt Hybrid Fund,120512,debt,
ICICI Pru All Seasons Bond Fund,120603,debt,
Aditya Birla SL Corporate Bond,119533,debt,
HDFC Liquid Fund,119064,liquid,
ICICI Pru Liquid Fund,119044,liquid,
Bank of India Liquid Fund,119369,liquid,
